var,adjusted r,adjusted r-squared,r-squared,r,language,dim,window,algo,dataset,data_source
unigram_freq,0,-5.35708197416188e-06,-0.000135648439467784,0,ar,50,2,cbow,dedup.ar.words.unigrams.tsv,Subtitles
unigram_freq,0,-5.82120665139921e-05,-0.000944659793098324,0,ar,50,2,cbow,dedup.arwiki-meta.words.unigrams.tsv,Wikipedia
unigram_freq,0,-1.12656681708684e-05,-0.000285261699244255,0,ar,50,2,sg,dedup.ar.words.unigrams.tsv,Subtitles
unigram_freq,0,-2.88495614021435e-05,-0.000468167896059413,0,ar,50,2,sg,dedup.arwiki-meta.words.unigrams.tsv,Wikipedia
unigram_freq,0,-3.72115927009914e-06,-9.42247011403996e-05,0,ar,50,3,cbow,dedup.ar.words.unigrams.tsv,Subtitles
unigram_freq,0,-4.29353059240028e-05,-0.00069674999771796,0,ar,50,3,cbow,dedup.arwiki-meta.words.unigrams.tsv,Wikipedia
unigram_freq,0,-5.91566003656929e-06,-0.000149792378808633,0,ar,50,3,sg,dedup.ar.words.unigrams.tsv,Subtitles
unigram_freq,0,-1.17210612887213e-05,-0.00019020825053917,0,ar,50,3,sg,dedup.arwiki-meta.words.unigrams.tsv,Wikipedia
unigram_freq,0.00141065370536461,1.9899438764589e-06,5.0388025192083e-05,0.0070984523096294,ar,50,4,cbow,dedup.ar.words.unigrams.tsv,Subtitles
unigram_freq,0,-2.54578440891336e-05,-0.000413127435085814,0,ar,50,4,cbow,dedup.arwiki-meta.words.unigrams.tsv,Wikipedia
unigram_freq,0,-4.860527361057e-06,-0.000123075016342455,0,ar,50,4,sg,dedup.ar.words.unigrams.tsv,Subtitles
unigram_freq,0,-2.30006425860799e-05,-0.000373252206417929,0,ar,50,4,sg,dedup.arwiki-meta.words.unigrams.tsv,Wikipedia
unigram_freq,0.00279813787622994,7.82957557439258e-06,0.000198255265363489,0.0140803148176271,ar,50,5,cbow,dedup.ar.words.unigrams.tsv,Subtitles
unigram_freq,0,-1.70105421387102e-06,-2.76045434899341e-05,0,ar,50,5,cbow,dedup.arwiki-meta.words.unigrams.tsv,Wikipedia
unigram_freq,0.00107566620655569,1.15705778792592e-06,2.92982418531595e-05,0.00541278503666639,ar,50,5,sg,dedup.ar.words.unigrams.tsv,Subtitles
unigram_freq,0,-1.51531481128373e-05,-0.000245903824039995,0,ar,50,5,sg,dedup.arwiki-meta.words.unigrams.tsv,Wikipedia
unigram_freq,0.00207760914051539,4.31645974075309e-06,0.000109298500691746,0.0104545923254685,ar,50,6,cbow,dedup.ar.words.unigrams.tsv,Subtitles
unigram_freq,0,-2.52635428409146e-05,-0.000409974333195895,0,ar,50,6,cbow,dedup.arwiki-meta.words.unigrams.tsv,Wikipedia
unigram_freq,0.00195784588236759,3.83316049910374e-06,9.70607211987495e-05,0.00985193997133303,ar,50,6,sg,dedup.ar.words.unigrams.tsv,Subtitles
unigram_freq,0,-6.53029484697202e-06,-0.000105972994061787,0,ar,50,6,sg,dedup.arwiki-meta.words.unigrams.tsv,Wikipedia
unigram_freq,0,-1.40026454754648e-05,-0.000354565604246626,0,ar,100,1,cbow,dedup.ar.words.unigrams.tsv,Subtitles
unigram_freq,0,-7.25217388704708e-05,-0.00117687577402947,0,ar,100,1,cbow,dedup.arwiki-meta.words.unigrams.tsv,Wikipedia
unigram_freq,0,-3.42243861798848e-05,-0.000866606969883166,0,ar,100,1,sg,dedup.ar.words.unigrams.tsv,Subtitles
